year,region,province,population,acc with victims,total injuried,mortals,hosp injuries,minor injuries,gas_stations,free_motorways_CCAA,free_motorways_State,free_motorways_provincial,multiple_road_CCAA,multiple_road_State,multiple_road_provincial,single_road_CCAA,single_road_State,single_road_provincial,toll_motorways_CCAA,toll_motorways_State,toll_motorways_provincial
2015,Castilla y León,Burgos,219913,788,1144,32,140,972,130,46.75,198.39,0.0,5.88,15.31,0.0,1765.7,657.95,2289.44,0.0,76.29,0.0
2015,Extremadura,Cáceres,246240,518,755,17,50,688,126,107.1,337.0,0.0,10.64,20.18,0.0,1574.07,408.45,1835.83,0.0,0.0,0.0
2015,Andalucía,Cádiz,782125,3080,4705,32,229,4444,226,138.09,123.9,0.0,23.76,33.96,0.0,873.4,113.45,806.68,0.0,47.8,0.0
2015,C. Valenciana,Castellón,360284,708,956,28,97,831,173,46.04,74.63,0.0,45.83,3.66,0.0,874.68,281.18,774.88,0.0,119.88,0.0
2015,Castilla-La Mancha,Ciudad Real,313796,640,952,27,61,864,198,80.96,256.82,0.0,3.82,7.63,0.0,1720.13,460.6,1724.0,0.0,0.0,0.0
2015,Andalucía,Córdoba,486202,1491,2069,26,118,1925,225,9.97,174.18,0.0,17.44,5.01,0.0,1619.52,417.53,1806.61,0.0,0.0,0.0
2015,Galicia,"Coruña, A",685245,1443,2052,47,234,1771,245,102.04,71.99,0.0,2.55,54.37,0.0,1570.67,280.99,2104.0,33.3,146.32,0.0
2015,Castilla-La Mancha,Cuenca,120909,316,488,16,57,415,143,0.0,346.21,0.0,0.0,0.0,0.0,1718.81,584.36,1557.2,0.0,49.83,0.0
2015,Cataluña,Gerona,464179,2409,3316,41,278,2997,236,90.0,32.98,0.0,21.83,6.34,2.59,1129.92,279.78,777.76,0.0,92.62,0.0
2015,Andalucía,Granada,569004,1251,1874,43,172,1659,266,235.69,184.54,0.0,11.81,2.72,4.07,1388.16,183.16,1260.63,0.0,0.0,0.0
2015,Castilla-La Mancha,Guadalajara,159230,218,314,11,48,255,79,9.26,99.67,0.0,0.0,0.69,0.0,1461.81,291.78,1568.0,0.0,24.02,0.0
2015,País Vasco,Guipúzcoa,429701,1754,2209,38,199,1972,115,,0.0,45.04,,0.0,78.38,,0.0,1183.07,,0.0,107.2
2015,Andalucía,Huelva,328512,721,1157,23,80,1054,131,33.29,136.42,0.0,6.42,11.44,0.0,731.45,299.16,840.01,0.0,0.0,0.0
2015,Aragón,Huesca,133601,482,670,17,111,542,114,0.0,155.96,0.0,0.0,0.57,0.0,2042.53,668.66,1386.0,0.0,49.71,0.0
2015,Andalucía,Jaén,399588,1023,1564,23,92,1449,232,77.22,202.92,0.0,1.87,0.0,0.0,1402.45,257.23,1564.87,0.0,0.0,0.0
2015,Castilla y León,León,286238,810,1234,39,170,1025,151,67.89,231.66,0.0,5.79,21.6,0.0,1715.2,588.61,3310.32,0.0,93.68,0.0
2015,Cataluña,Lérida,267927,1251,1787,51,209,1527,189,28.38,127.86,0.0,0.0,10.65,0.0,1528.66,318.5,815.46,0.0,60.47,0.0
2015,La Rioja,"Rioja, La",192659,707,977,20,71,886,78,0.0,61.95,,3.0,1.38,,1433.0,254.63,,0.0,119.1,
2015,Galicia,Lugo,197617,549,816,22,141,653,112,16.16,238.26,0.0,2.41,11.1,0.0,1459.78,506.28,4208.0,0.0,0.0,0.0
2015,Madrid,Madrid,4056167,15422,20114,111,1314,18689,638,128.16,493.61,,201.41,7.05,,2242.62,104.16,,0.0,160.82,
2015,Andalucía,Málaga,1015969,2514,3589,46,237,3306,288,97.1,218.74,0.0,11.36,29.68,0.0,1174.82,31.37,859.6,0.0,122.09,0.0
2015,Murcia,Murcia,908711,1755,2561,44,219,2298,376,167.84,289.08,,79.68,12.48,,2643.12,142.0,,0.0,114.64,
2015,Navarra,Navarra,387768,450,612,26,112,474,231,235.54,0.0,,25.6,0.0,,3460.38,0.0,,105.07,39.03,
2015,Galicia,Orense,179650,403,561,11,83,467,91,47.97,168.36,0.0,3.07,8.2,0.0,976.89,345.03,1840.07,0.0,0.0,0.0
2015,Asturias,Asturias,646295,2374,3461,36,230,3195,210,74.45,357.84,,7.02,5.85,,4111.21,473.14,,0.0,21.86,
2015,Castilla y León,Palencia,100811,264,391,6,49,336,61,62.3,193.33,0.0,0.0,0.0,0.0,1467.75,247.01,1034.59,0.0,0.0,0.0
2015,Canarias,"Palmas, Las",731131,1472,2138,22,145,1971,209,,0.0,110.82,,0.0,76.06,,0.0,1752.45,,0.0,0.0
2015,Galicia,Pontevedra,584347,2068,3220,43,275,2902,171,27.34,80.31,0.0,6.44,7.49,0.0,1244.11,316.18,1686.0,20.98,126.71,0.0
2015,Castilla y León,Salamanca,199185,643,857,17,88,752,99,0.0,300.43,0.0,0.0,8.38,0.0,1263.45,264.53,2137.0,0.0,0.0,0.0
2015,Canarias,"Tenerife, S.C.",654942,1797,2593,40,202,2351,220,,0.0,135.06,,0.0,13.0,,0.0,2168.03,,0.0,0.0
2015,Cantabria,Cantabria,363611,703,1065,22,57,986,135,0.0,254.91,,0.0,2.95,,1994.81,329.22,,0.0,0.0,
2015,Castilla y León,Segovia,94438,324,480,16,46,418,65,64.48,47.04,0.0,6.3,1.86,0.0,703.3,248.69,1229.35,0.0,69.47,0.0
2015,Andalucía,Sevilla,1208730,5371,8006,43,242,7721,394,156.77,232.91,0.0,41.45,21.49,10.85,1706.41,144.28,1477.47,0.0,50.95,0.0
2015,Castilla y León,Soria,52821,121,172,10,31,131,38,0.0,131.74,0.0,0.0,1.85,0.0,898.77,407.27,1890.73,0.0,0.0,0.0
2015,Cataluña,Tarragona,486379,2001,2762,71,244,2447,217,23.06,85.66,0.0,22.55,16.11,6.22,1076.57,283.52,1083.56,10.59,191.13,0.0
2015,Aragón,Teruel,81766,148,205,16,45,144,82,0.0,140.1,0.0,0.0,2.73,0.0,1628.21,530.89,963.0,0.0,0.0,0.0
2015,Castilla-La Mancha,Toledo,424448,849,1292,31,128,1133,292,145.51,378.68,0.0,0.0,9.54,0.0,1923.4,363.85,956.0,0.0,140.27,0.0
2015,C. Valenciana,Valencia,1583491,4227,5582,64,402,5116,583,86.05,316.45,0.0,48.42,46.54,9.0,671.8,341.47,1818.0,0.0,87.78,0.0
2015,Castilla y León,Valladolid,322517,836,1249,24,104,1121,125,40.73,264.66,0.0,0.0,14.29,0.0,1046.92,268.92,1433.0,0.0,0.0,0.0
2015,País Vasco,Vizcaya,701535,1884,2690,19,108,2563,112,,0.0,96.74,,0.0,39.5,,0.0,1098.43,,22.4,50.0
2015,Castilla y León,Zamora,104469,108,186,21,44,121,81,0.0,336.39,0.0,0.0,13.22,0.0,1148.48,423.12,1592.06,0.0,0.0,0.0
2015,Aragón,Zaragoza,582753,1570,2158,38,229,1891,240,5.28,310.66,0.0,9.41,51.51,3.15,2043.36,508.48,1016.75,0.0,107.02,0.0
2015,Ceuta,Ceuta,52084,319,462,3,15,444,9,0.0,0.0,,0.0,0.0,,18.0,18.83,,0.0,0.0,
2015,Melilla,Melilla,51898,594,821,2,19,800,13,0.0,0.0,,0.53,1.02,,17.36,9.27,,0.0,0.0,
2016,País Vasco,Álava,197815,1006,1284,13,63,1208,59,0.0,0.0,91.97,0.0,0.0,10.61,0.0,0.0,1279.57,0.0,60.89,14.23
2016,Castilla-La Mancha,Albacete,240542,690,952,24,95,833,153,0.0,281.28,0.0,0.0,0.0,0.0,1612.62,418.07,1407.0,0.0,0.0,0.0
